Distance_(µm),Gray_Value
0.000000,18.781
0.018580,37.061
0.037160,67.033
0.055740,108.614
0.074320,141.370
0.092900,121.996
0.111480,105.687
0.130060,145.499
0.148640,185.122
0.167220,166.793
0.185800,103.577
0.204380,61.222
0.222960,48.613
0.241540,35.000
