Distance_(µm),Gray_Value
0.000000,4.6667
0.009290,7.1773
0.018580,8.7417
0.027870,11.7849
0.037160,13.9022
0.046450,15.7652
0.055740,16.6228
0.065030,21.3347
0.074320,33.9703
0.083610,52.2575
0.092900,56.2899
0.102190,36.3889
0.111480,19.2063
0.120770,20.4294
0.130060,41.9826
0.139350,57.8003
0.148640,38.5272
0.157930,17.2234
0.167220,10.9832
0.176510,14.1488
0.185800,15.0526
0.195090,11.5017
0.204380,7.5000
