Distance_(µm),Gray_Value
0.000000,16.2344
0.007742,23.4120
0.015483,36.7143
0.023225,34.7793
0.030967,21.6636
0.038708,20.8546
0.046450,25.5536
0.054192,26.1562
0.061933,32.8441
0.069675,43.4145
0.077417,47.2143
0.085158,46.4640
0.092900,40.6645
0.100642,21.7366
0.108383,8.4062
