Distance_(µm),Gray_Value
0.000000,9.0625
0.007742,10.2676
0.015483,23.4662
0.023225,37.1501
0.030967,40.6946
0.038708,30.9182
0.046450,21.0487
0.054192,25.3965
0.061933,38.8509
0.069675,47.1834
0.077417,53.2329
0.085158,58.1951
0.092900,59.0735
0.100642,45.1422
0.108383,33.4510
0.116125,23.5735
0.123867,17.6939
0.131608,16.3611
