Distance_(µm),Gray_Value
0.000000,2.3611
0.007742,3.8908
0.015483,3.5637
0.023225,4.0624
0.030967,10.4550
0.038708,24.3721
0.046450,24.2516
0.054192,16.8322
0.061933,11.5995
0.069675,13.8167
0.077417,22.4875
0.085158,33.8539
0.092900,27.1387
0.100642,14.4983
0.108383,6.9703
0.116125,2.6318
0.123867,0.7742
0.131608,0.9931
