Distance_(µm),Gray_Value
0.000000,10.5625
0.007742,11.4756
0.015483,16.9473
0.023225,19.1964
0.030967,28.8724
0.038708,45.2326
0.046450,42.6780
0.054192,27.3333
0.061933,20.0753
0.069675,30.2680
0.077417,46.8793
0.085158,41.4281
0.092900,18.2526
0.100642,4.3010
0.108383,3.0000
