Distance_(µm),Gray_Value
0.000000,1.3750
0.007742,2.7426
0.015483,2.7531
0.023225,5.5746
0.030967,10.2594
0.038708,16.7949
0.046450,26.6250
0.054192,31.4117
0.061933,28.2812
0.069675,23.1598
0.077417,23.9062
0.085158,25.5953
0.092900,28.1594
0.100642,42.1242
0.108383,51.3000
0.116125,43.3945
0.123867,32.2250
0.131608,25.0988
0.139350,18.7313
0.147092,8.6621
0.154833,1.4375
