Distance_(µm),Gray_Value
0.0000000,5.9062
0.0077417,10.4876
0.0154833,21.1528
0.0232250,20.2402
0.0309667,10.3958
0.0387083,8.0369
0.0464500,12.7656
0.0541917,16.1257
0.0619333,24.2049
0.0696750,25.8652
0.0774167,15.4688
0.0851583,6.0115
0.0929000,2.4375
