Distance_(µm),Gray_Value
0.000000,4.1406
0.007742,6.5258
0.015483,7.9023
0.023225,16.6865
0.030967,29.8379
0.038708,28.9587
0.046450,18.8271
0.054192,15.3979
0.061933,16.8750
0.069675,14.3431
0.077417,18.8965
0.085158,25.4305
0.092900,24.6621
0.100642,17.4557
0.108383,10.4277
0.116125,7.8516
0.123867,6.9688
