Distance_(µm),Gray_Value
0.000000,5.5000
0.007742,9.3104
0.015483,12.8248
0.023225,21.3567
0.030967,29.2262
0.038708,19.8272
0.046450,8.8222
0.054192,9.9222
0.061933,15.7553
0.069675,25.6433
0.077417,32.7870
0.085158,18.6048
0.092900,11.6200
0.100642,12.3309
0.108383,8.8841
0.116125,1.7222
