Distance_(µm),Gray_Value
0.0000000,2.9375
0.0077417,7.9271
0.0154833,20.8819
0.0232250,28.0625
0.0309667,28.7986
0.0387083,23.0625
0.0464500,12.3750
0.0541917,14.0454
0.0619333,26.2500
0.0696750,25.6992
0.0774167,12.3750
0.0851583,4.0490
0.0929000,4.6719
