Distance_(µm),Gray_Value
0.000000,3.5000
0.007742,8.0263
0.015483,24.9026
0.023225,54.8195
0.030967,85.9760
0.038708,100.2719
0.046450,91.1163
0.054192,67.8301
0.061933,46.9141
0.069675,34.4977
0.077417,29.2050
0.085158,33.3606
0.092900,50.1367
0.100642,62.0802
0.108383,52.2664
0.116125,32.7558
0.123867,20.1873
0.131608,12.5069
0.139350,9.0115
0.147092,10.1667
