Distance_(µm),Gray_Value
0.000000,0.3281
0.007742,1.2080
0.015483,2.5913
0.023225,6.5853
0.030967,11.5792
0.038708,14.6581
0.046450,14.3422
0.054192,8.9632
0.061933,3.8450
0.069675,3.7526
0.077417,8.7528
0.085158,11.3002
0.092900,6.4503
0.100642,2.2721
0.108383,0.7322
0.116125,0.0000
0.123867,0.0000
0.131608,0.0000
