Distance_(µm),Gray_Value
0.000000,6.0000
0.007742,15.1468
0.015483,20.9892
0.023225,25.0573
0.030967,32.8002
0.038708,38.5655
0.046450,35.6553
0.054192,25.9485
0.061933,16.2301
0.069675,13.1295
0.077417,16.4805
0.085158,26.7448
0.092900,29.5125
0.100642,22.7768
0.108383,21.2288
0.116125,20.7031
0.123867,13.0913
0.131608,8.7500
